"","nct_id","last_update_submitted_date","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","category","country","region"
"1","NCT02371681",2023-06-16,2015-02-25,NA,"Interventional","Phase 2",262,"Completed","NexGen EBA Radiologic and Immunologic Biomarkers of Sterilizing Drug Activity in Tuberculosis","NexGen EBA Radiologic and Immunologic Biomarkers of Sterilizing Drug Activity in Tuberculosis",2015-02-25,2017-11-14,2017-09-01,FALSE,"Randomized","Single","NIH",TRUE,"Multicentric Local","South Africa","LMIC"
"2","NCT03918226",2019-04-15,2019-04-15,NA,"Interventional","Not Applicable",80,"Completed","Acute Presentation and Management of Abdominal Tuberculosis: A Ten-year Experience at a Tertiary Care Center in Pakistan","Acute Presentation and Management of Abdominal Tuberculosis: A Ten-year Experience at a Tertiary Care Center in Pakistan",2008-05-01,2018-04-30,2018-04-30,FALSE,NA,"None (Open Label)","OTHER_GOV",FALSE,"Monocentric","Pakistan","LMIC"
"3","NCT02573623",2015-10-09,2015-09-22,NA,"Observational",NA,300,"Unknown status","Evaluation, of Innovative Tuberculosis Diagnostic Tests - Promoting Infant Health and Nutrition in Sub-Saharian Africa (PROMISE Consortium)","Evaluation of an Innovative Tuberculosis Diagnostic Test",2013-07-01,2015-12-01,2015-10-01,FALSE,NA,NA,"OTHER_GOV",FALSE,"Monocentric","Zambia","LMIC"
"4","NCT00664313",2012-10-01,2008-04-18,NA,"Interventional","Phase 1/Phase 2",36,"Completed","TBTC Study 30: A Phase I/II Pilot Study for Evaluation of Low Dose, Once Daily, Linezolid Plus Optimized Background Therapy (OBT) Versus Placebo Plus OBT for the Treatment of Multi-drug Resistant Tuberculosis","TBTC Study 30: Safety and Tolerability of Low Dose Linezolid in MDR TB",2009-04-01,2010-09-01,2010-09-01,FALSE,"Randomized","Quadruple","FED",FALSE,"Monocentric","South Africa","LMIC"
"5","NCT03000517",2018-01-24,2016-09-01,NA,"Observational",NA,20,"Completed","Pharmacokinetics of Levofloxacin in MDR-TB Patients","PK of Levofloxacin in MDR-TB Patients",2016-05-04,2018-01-24,2017-10-27,FALSE,NA,NA,"OTHER",FALSE,"Monocentric","Nepal","LMIC"
"6","NCT02477852",2015-06-22,2015-05-23,NA,"Interventional","Phase 4",400,"Unknown status","The Study of Standardized Preoperative Anti-tuberculosis Treatment of Surgical Treatment of Spinal Tuberculosis Patients","The Optimal Duration of Preoperative Anti-tuberculosis Treatment of Spinal Tuberculosis",2015-04-01,2017-12-01,2017-12-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","China","LMIC"
"7","NCT01190540",2014-12-01,2010-08-25,NA,"Interventional","Not Applicable",72,"Completed","Cost Effectiveness of Building Capacity of Mid-level Practitioners in Sub-Saharan Africa for the Care and Prevention of HIV, Tuberculosis, Malaria and Related Infectious Diseases","Integrated Infectious Disease Capacity-Building Evaluation",2008-11-01,2012-08-01,2012-08-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Uganda","LMIC"
"8","NCT01924286",2018-01-18,2013-08-12,NA,"Interventional","Phase 3",240,"Completed","Preventing Tuberculosis-associated Immune Reconstitution Inflammatory Syndrome in High-risk Patients: a Randomized Placebo-controlled Trial of Prednisone","Preventing TB-IRIS in High-risk Patients: a Randomized Placebo-controlled Trial of Prednisone",2013-08-30,2017-04-01,2016-04-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"9","NCT01124929",2015-07-02,2010-05-03,NA,"Interventional","Phase 3",197,"Completed","A Multi-centric Study on Treatment of Abdominal Tuberculosis (Intestinal or Peritoneal): A Randomized Controlled Trial to Compare the 6 Months of Cat I Treatment With 9 Months of Cat I Treatment (Extension for 3 Months) in Abdominal Tuberculosis Under the Revised National Tuberculosis Control Program","Treatment Duration for Abdominal Tuberculosis",2008-07-01,2014-04-01,2012-07-01,FALSE,"Randomized","Double","OTHER",FALSE,"Monocentric","India","LMIC"
"10","NCT04150367",2019-11-04,2017-10-25,NA,"Observational",NA,166,"Terminated","Open-label, Randomized, Multicenter, Controlled, Parallel, Comparative Study of Efficacy and Safety of Treatment of Tuberculosis With Isoniazid, Rifampicin, Ethambutol for Intravenous Infusion in Comparison With Oral Forms While the Intensive Phase of Treatment for Patients With Widespread Destructive Pulmonary Tuberculosis With Bacterial Excretion.","Efficacy and Safety of Intravenous Treatment of Tuberculosis",2017-03-03,2018-07-14,2018-07-14,FALSE,NA,NA,"INDUSTRY",TRUE,"Multicentric Local","Ukraine","LMIC"
