"","nct_id","last_update_submitted_date","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","category","country","region"
"1","NCT02527941",2016-02-09,2015-08-14,NA,"Interventional","Phase 1",50,"Completed","Effect of Bacterial Vaginosis and Its Treatment on HIV Susceptibility and Female Genital Immunology","Effect of Bacterial Vaginosis on HIV Susceptibility and Female Genital Immunology",2015-08-01,2015-11-01,2015-11-01,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Monocentric","Kenya","LMIC"
"2","NCT02743572",2018-03-06,2016-03-31,NA,"Interventional","Not Applicable",129,"Completed","Efficacy and Safety of Parenteral Nutrition With Iron Sucrose for Anemia in Preterm Infants: a Randomized, Double-blind Controlled Study","Iron-fortified Parenteral Nutrition in the Prevention and Treatment of Anemia in Premature Infants",2015-09-01,2017-05-01,2017-05-01,FALSE,"Randomized","Triple","OTHER",FALSE,"Monocentric","China","LMIC"
"3","NCT00922610",2016-11-01,2009-06-16,NA,"Interventional","Phase 4",28,"Completed","An Open-label Study of the Effect of Mircera on Hemoglobin Levels in Filipino Chronic Kidney Disease Patients","A Study of Mircera in Renal Anemia Among Filipino Chronic Kidney Disease Patients",2009-02-01,2010-07-01,2010-07-01,FALSE,"Non-Randomized","None (Open Label)","INDUSTRY",TRUE,"Multicentric Local","Philippines","LMIC"
"4","NCT03715218",2018-10-19,2018-10-19,NA,"Interventional","Not Applicable",160,"Completed","Indian Postpartum Care: A-randomised Trial to Improve Maternal Health Six Weeks After Birth","Impact of Mothers Touch Program to Improve Maternal Health After Birth",2018-01-21,2018-08-12,2018-05-15,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","India","LMIC"
"5","NCT02005588",2015-07-27,2013-11-27,NA,"Interventional","Early Phase 1",150,"Completed","Comparison Between Aminoacid Chelated Iron and Iron Salt in Treatment of Iron Deficiency Anemia With Pregnancy","Treatment of Iron Deficiency Anemia With Pregnancy",2013-12-01,2015-07-01,2015-06-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC"
"6","NCT03122704",2017-04-17,2015-10-21,NA,"Interventional","Not Applicable",0,"Withdrawn","Prevalence of Group B Streptococcus Infection in Pregnant Women Conceived Through IVF Diagnosed With Preterm Labor.","Group B Streptococcus (GBS) Infection and in Preterm Labor Women Conceived Through IVF",2015-10-01,2016-09-01,2016-08-01,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Monocentric","Vietnam","LMIC"
"7","NCT00746551",2015-02-11,2008-09-02,2015-01-15,"Interventional","Phase 4",80,"Completed","Low Dose Intravenous Versus Oral Iron for Iron Deficiency Anemia Starting Late in Pregnancy: A Randomized Controlled Trial","Intravenous Versus Oral Iron in Late Pregnancy: Results of Treatment",2008-09-01,2010-04-01,2010-03-01,TRUE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Thailand","LMIC"
"8","NCT03206255",2019-01-03,2017-06-30,NA,"Observational",NA,940,"Completed","Immuno-persistence Study of A Bivalent Human Papillomavirus (Type 16, 18) Recombinant Vaccine (E.Coli) in Healthy Female Subjects Aged 9 to 17 Years","Immuno-persistence Study of a Recombinant Human Papillomavirus 16/18 Bivalent Vaccine in Preadolescent Girls",2017-07-01,2018-08-15,2018-08-15,FALSE,NA,NA,"OTHER",FALSE,"Monocentric","China","LMIC"
"9","NCT03456258",2018-02-28,2018-02-23,NA,"Interventional","Not Applicable",100,"Completed","Lactoferrin Versus Ferrous Sulphate for the Treatment of Iron Deficiency Anemia During Pregnancy,a Randomized Clinical Trial","Lactoferrin Versus Ferrous Sulphate for the Treatment of Iron Deficiency Anemia During Pregnancy",2017-09-05,2018-01-15,2017-12-10,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC"
"10","NCT02124252",2019-04-09,2014-04-24,NA,"Interventional","Not Applicable",7200,"Completed","Evaluation of a Community-Driven Cervical Cancer Prevention Strategy in Western Kenya","Community-Driven Cervical Cancer Prevention in Western Kenya",2016-01-01,2019-03-01,2016-10-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Kenya","LMIC"
